,Band,Song,Player,Technique,Difficulty,Score
184,The Rolling Stones,(I Can't Get No) Satisfaction,Keith Richards,['Distortion Guitar'],Beginner,2/8
185,Kansas,Carry On Wayward Son,Rich Williams,"['Rhythm Guitar (Right Spe', 'Distortion Guitar']",Intermediate,3/8
186,Megadeth,Lucretia,Dave Mustaine,['Distortion Guitar'],Intermediate,4/8
187,Alice in Chains,Them Bones,Jerry Cantrell (Lead),['Distortion Guitar'],Intermediate,3/8
188,Stone Temple Pilots,Plush,,"['Distortion Guitar', 'Guitar 1']",Beginner,2/8
189,Toto,Hold The Line,Steve Lukather,"['Rythm Guitar', 'Distortion Guitar']",Intermediate,3/8
190,Led Zeppelin,Good Times Bad Times,Jimmy Page,['Distortion Guitar 2'],Intermediate,4/8
191,Jimi Hendrix,Voodoo Child,Jimi Hendrix,['Distortion Guitar'],Intermediate,5/8
192,Dire Straits,Brothers In Arms,,['Overdriven Guitar'],Intermediate,3/8
193,C418,Sweden,,"['Acoustic Guitar (nylon)', 'Nylon Guitar']",Intermediate,3/8
194,Ghost B.C.,Square Hammer,Fire,"['Lead', 'Distortion Guitar']",Intermediate,3/8
195,Red Hot Chili Peppers,Soul To Squeeze,John,['Electric Guitar (clean)'],Beginner,2/8
196,Avenged Sevenfold,Bat Country,Synyster Gates (Lead),['Distortion Guitar'],Intermediate,4/8
197,Metallica,For Whom The Bell Tolls,James Hetfield (Rhythm),['Distortion Guitar'],Beginner,2/8
198,Led Zeppelin,Immigrant Song,Jimmy Page,"['Rhythm Guitar', 'Overdriven Guitar']",Intermediate,3/8
199,KISS,Detroit Rock City,,"['Distortion Guitar', 'Guitar Right']",Intermediate,3/8
200,Jimi Hendrix,Hey Joe,,"['Electric Guitar (jazz)', 'Guitar 1']",Intermediate,5/8
201,Motley Crue,Kickstart My Heart,Mick Mars,['Distortion Guitar'],Intermediate,3/8
202,Queen,Another One Bites the Dust,Guitar 3,['Electric Guitar (muted)'],Beginner,2/8
203,Pantera,Walk,Dimebag  Darrell,['Distortion Guitar'],Intermediate,3/8
204,Muse,Supermassive Black Hole,,"['Distortion Guitar', 'Matt Guitare']",Intermediate,3/8
205,Metallica,The Unforgiven,Kirk Hammett (Lead),['Distortion Guitar'],Beginner,2/8
206,Death,Crystal Mountain,Chuck Schuldiner ,['Distortion Guitar'],Intermediate,4/8
207,Red Hot Chili Peppers,Otherside,John Frusciante (Main),['Electric Guitar (clean)'],Intermediate,3/8
208,Baby Bash,Suga Suga,Track 1,['Electric Guitar (jazz)'],Intermediate,4/8
209,Slipknot,Sulfur,,"['Distortion Guitar', 'Mick Thomson (Guitar Lead)']",Intermediate,4/8
210,Childish Gambino,Redbone,,['Electric Guitar (clean)'],Beginner,2/8
211,Yann Tiersen,Comptine d'un autre éte (acoustic guitar),,['Acoustic Guitar (nylon)'],Intermediate,3/8
212,Metallica,Creeping Death,James Hetfield (Rhythm),['Distortion Guitar'],Intermediate,4/8
213,The Beatles,Yesterday,Paul McCartney,['Acoustic Guitar (steel)'],Beginner,2/8
214,Bon Jovi,Wanted Dead Or Alive,Richie Sambora- Acoustic Lead,['Acoustic Guitar (steel)'],Intermediate,3/8
215,The Oral Cigarettes,Kyouran Hey Kids!!,,['Distortion Guitar'],Intermediate,5/8
216,Sabaton,Bismarck,Tommy Johannson,['Distortion Guitar 1'],Intermediate,4/8
217,Red Hot Chili Peppers,Dark Necessities,Josh,"['Solo', 'Distortion Guitar']",Beginner,2/8
218,Europe,The Final Countdown,,"['Distortion Guitar', 'John Norum (Guitar)']",Beginner,2/8
219,Three Days Grace,I Hate Everything About You,Adam Gontier,['Acoustic Guitar (steel)'],Beginner,2/8
220,Avenged Sevenfold,The Stage,Synyster Gates,['Distortion Guitar'],Advanced,6/8
221,ZZ Top,Sharp Dressed Man,Billy F. Gibbons,"['Lead', 'Distortion Guitar']",Intermediate,3/8
